,id,acronym,def
45,CACM1,CACM,Central American Common Market
46,CAREMEDICO1,CARE-MEDICO,Cooperative for American Remittances to Everywhere-Medical International Cooperation
47,CASP1,CASP,Country Analysis and Strategy Paper
48,CCC1,CCC,Commodity Credit Corporation
49,CEA1,CEA,Council of Economic Advisors
50,CECLA1,CECLA,Comision especial de coordination latinoamericana (Special Latin American Coordinating Committee)
51,CENTO1,CENTO,Central Treaty Organization
52,CEO1,CEO,Chief Executive Officer
53,CEP1,CEP,"Chile, Ecuador, and Peru; or Conference on Economic Progress"
54,CG1,CG,Consulate General
55,CIA1,CIA,Central Intelligence Agency
56,CIAP1,CIAP,Comite Inter-Americano de la Alianza para el Progreso (Inter-American Committee of the Alliance for Progress)
57,CIEP1,CIEP,Council on International Economic Policy
58,CIEPDM1,CIEPDM,Council on International Economic Policy Decision Memorandum
59,CINCLANT1,CINCLANT,"Commander in Chief, Armed Forces, Atlantic"
60,CINCSAC1,CINCSAC,"Commander in Chief, Strategic Air Command"
61,CINCSOUTH1,CINCSOUTH,"Commander-in-Chief, Southern Command"
62,CNA1,CNA,Congo National Army
63,CODESUR1,CODESUR,Comsion para el Desarrollo del Sur de Venezuela (Commission for the Development of Southern Venezuela)
64,COLPET1,COLPET,Colombian Petroleum Company
65,COMAFELM1,COMAFELM,"Commander, Air Force, Eastern Atlantic and Mediterranean"
66,COMANTDEFCOM1,COMANTDEFCOM,"Commander, Antilles Defense Command"
67,COMCARIBSEAFRON1,COMCARIBSEAFRON,"Commander, Caribbean Sea Frontier"
68,COMUSAFSO1,COMUSAFSO,"Commander, U.S. Forces, Southern Command"
69,CONS1,CONS,"Consul, Conselor Section"
70,CONUS1,CONUS,Continental United States
71,COPEI1,COPEI,"Comite organizado por elecciones independientes (Committee of Independent Electoral Political Organization), Venezuela"
72,COPRIN1,COPRIN,"Control de Precios y Ingresos (Wage and Price Control Board), Uruguay"
73,CSK1,CSK,Comite Special du Katanga
74,CU1,CU,"Bureau of Educational and Cultural Affairs, Department of State"
75,CY1,CY,calendar year
76,ConGen1,ConGen,Consulate General
77,Conakat1,Conakat,Confederation des Associations Tribales du Katanga
78,D1,D,Democrat; or Deputy Secretary of State
79,DAC1,DAC,Development Assistance Committee (OECD)
80,DAS1,DAS,"Departamento Administrativo de Seguridad (Department of Administrative Security), Colombia; Deputy Assistant Secretary"
81,DASDIA1,DASD-IA,"Deputy Assistant Secretary of Defense, International Security Affairs"
82,DATT1,DATT,Defense Attache
83,DCI1,DCI,Director of Central Intelligence
84,DCM1,DCM,Deputy Chief of Mission
85,DDCI1,DDCI,Deputy Director of Central Intelligence
86,DDP1,DDP,"Deputy Director of Plans, Central Intelligence Agency"
87,DDPWH1,DDP/WH,"Deputy Director of Plans, Western Hemisphere Division, Central Intelligence Agency"
88,DE1,DE,Destroyer Escort
89,DEFATT1,DEFATT,Defense Attache
90,DEMBA1,DEMBA,"Demerara Bauxite Company, Guyana"
91,DG1,DG,Director General
92,DIA1,DIA,Defense Intelligence Agency
93,DL1,DL,Development Loan
94,DLF1,DLF,Development Loan Fund
95,DOD1,DOD,Department of Defense
96,DepSecDef1,DepSecDef,Deputy Secretary of Defense
97,Depcirtel1,Depcirtel,Department of State circular telegram
98,Deptel1,Deptel,Department of State telegram
99,E1,E,"Bureau of Economic Affairs, Department of State"
100,EA1,E/A,"Bureau of Economic Affairs, Administrative Office"
101,ECA1,ECA,Economic Commission for Africa
102,ECON1,ECON,Economic Section
103,ECOSOC1,ECOSOC,Economic and Social Council of the United Nations
104,EEC1,EEC,European Economic Community (Common Market)
105,EUR1,EUR,"Bureau of European Affairs, Department of State"
106,EURWE1,EUR/WE,"Office of Western European Affairs, Bureau of European Affairs, Department of State"
107,EXIM1,EX-IM,Export-Import Bank
108,EXSEC1,EXSEC,Executive Secretary
109,Embtel1,Embtel,Embassy telegram
110,Eville1,Eville,Elisabethville
111,EximBank1,EximBank,Export-Import Bank
112,FAR1,FAR,"Fuerzas Armadas Rebeldes (Rebel Armed Forces), Guatemala"
113,FAS1,FAS,Foreign Agricultural Service
114,FBI1,FBI,Federal Bureau of Investigation
115,FBIS1,FBIS,Foreign Broadcast Information Service
116,FLN1,FLN,Front de Liberation Nationale (Algeria)
117,FMS1,FMS,Foreign Military Sales
118,FRC1,FRC,Federal Records Center
119,FRG1,FRG,Federal Republic of Germany
120,FSI1,FSI,Foreign Service Institute
121,FY1,FY,fiscal year
122,FYI1,FYI,for your information
123,FonOff1,FonOff,Foreign Office
124,G21,G-2,U.S. Army or Marine Intelligence section at Division/Corps level
125,GA1,GA,General Assembly (United Nations)
126,GATT1,GATT,General Agreement on Tariffs and Trade
127,GDR1,GDR,German Democratic Republic
128,GMT1,GMT,Greenwich Mean Time
129,GN1,GN,"Guardia Nacional (National Guard), Panama"
130,GOA1,GOA,Government of Argentina
131,GOB1,GOB,Government of Bolivia; Government of Brazil
132,GOC1,GOC,Government of Colombia; Government of Cuba
133,GOCR1,GOCR,Government of Costa Rica
134,GODR1,GODR,Government of the Dominican Republic
135,GOE1,GOE,Government of Ecuador
136,GOES1,GOES,Government of El Salvador
137,GOF1,GOF,Government of France
138,GOG1,GOG,Government of Guatemala; Government of Guyana
139,GOH1,GOH,Government of Haiti; Government of Honduras
140,GOJ1,GOJ,Government of Jamaica
141,GOK1,GOK,Government of Katanga
142,GOL1,GOL,Government of Libya
143,GOM1,GOM,Government of Morocco
144,GON1,GON,Government of Nicaragua
145,GOP1,GOP,Government of Peru; Government of Panama
146,GOS1,GOS,Government of Sudan
147,GOT1,GOT,Government of Tunisia
148,GOV1,GOV,Government of Venezuela
149,GRN1,GRN,Government of Rhodesia and Nyasaland
150,GSA1,GSA,Government of South Africa
151,GSR1,GSR,Government of the Somali Republic
152,H1,H,"Bureau of Legislative Affairs, Department of State"
153,HIM1,HIM,His Imperial Majesty
154,HMG1,HMG,Her Majesty's Government
155,HQs1,HQs,headquarters
156,IA1,IA,Inter-American; or Institutional Act
157,IA51,IA5,"Fifth Institutional Act, Brazil"
158,IAECOSOC1,IA-ECOSOC,"Inter-American Economic and Social Council, Organization of American States"
159,IAPC1,IAPC,Inter-American Peace Committee
160,IATA1,IATA,International Air Transport Association
161,IATSG1,IATSG,International Air Transport Study Group
162,IBRD1,IBRD,International Bank for Reconstruction and Development (World Bank)
163,ICA1,ICA,International Cooperation Administration
164,ICAO1,ICAO,International Civil Aviation Organization
165,ICFTU1,ICFTU,International Confederation of Free Trade Unions
166,ICJ1,ICJ,International Court of Justice
167,ICRC1,ICRC,International Committee of the Red Cross
168,IDB1,IDB,Inter-American Development Bank
169,IDC1,IDC,Information Dominance Center
170,IEG1,IEG,Imperial Ethiopian Government
171,IG1,IG,Inter-Agency Group
172,IL1,IL,Intelligence Liaison
173,ILO1,ILO,International Labor Organization
174,IMF1,IMF,International Monetary Fund
175,IMPC1,IMPC,International Minerals Processing Congress
176,INR1,INR,"Bureau of Intelligence and Research, Department of State"
177,INRRAR1,INR/RAR,"Bureau of Intelligence and Research, Office of Research and Analysis for American Republics"
178,IO1,IO,"International Organizations, Department of State"
179,IPC1,IPC,International Petroleum Company (Peru)
180,IPMG1,IPMG,Interdepartmental Political Military Group
181,ISA1,ISA,Office of the Assistant Secretary of Defense for International Security Affairs
182,ITT1,IT&T,International Telephone and Telegraph
183,ITU1,ITU,International Trade Union
184,JCS1,JCS,Joint Chiefs of Staff
185,JCSM1,JCSM,Joint Chiefs of Staff Memorandum
186,JTF1,JTF,Joint Task Force
187,KAF1,KAF,Katangan Air Force
188,L1,L,"Legal Advisor, Department of State"
189,LA1,LA,Latin America
190,LAFTA1,LAFTA,Latin American Free Trade Agreement
191,LDC1,LDC,less-developed country
192,LOS1,LOS,Law of the Sea
193,LSPA1,L/SPA,"Legal Advisor for Special Political Function, Department of State"
194,LTA1,LTA,Long-Term Arrangement Regarding International Trade in Cotton Textiles
195,Leo1,Leo,Leopoldville
196,M1131,M113,U.S. Army Armored Personnel Carriers
197,MAAG1,MAAG,Military Assistance Advisory Group
198,MAP1,MAP,Military Assistance Program
199,MATS1,MATS,Military Air Transport Service
200,MILGRP1,MILGRP,Military Group
201,MIMEXSIMEX1,MIMEX/SIMEX,Major Item Material Excess/Secondary Insurance Market Exchange
202,MINMINES1,MINMINES,Minister of Mines
203,MLN1,MLN,"Movimiento de Liberacion Nacional (National Liberation Movement), Guatemala"
204,MNA1,MNA,Mouvement Nationaliste Algerienne
205,MNC1,MNC,Mouvement National Congolais
206,MOD1,MOD,Ministry of Defense
207,MPD1,MPD,Movimiento Popular Dominicano (Dominican Popular Movement)
208,MiG1,MiG,A.I. MIkoyan i M.I. Gurevich (Soviet fighter aircraft named for designers Mikoyan and Gurevich )
209,NAC1,NAC,National Advisory Council
210,NATO1,NATO,North Atlantic Treaty Organization
211,NBC1,NBC,National Broadcasting Company
212,NIC1,NIC,National Intelligence Council
213,NIE1,NIE,National Intelligence Estimate
214,NIO1,NIO,"National Intelligence Officer, Central Intelligence Agency"
215,NPS1,NPS,National Party of Suriname
216,NR1,NR,Northern Rhodesia
217,NSA1,NSA,National Security Advisor; National Security Agency
218,NSAM1,NSAM,National Security Action Memorandum
219,NSC1,NSC,National Security Council
220,NSCIGARA1,NSC-IG/ARA,National Security Council Interdepartmental Group for Inter-American Affairs
221,NSCU1,NSC-U,"National Security Council, Under Secretaries Committee"
222,NSCUDM1,NSC U/DM,"National Security Council, Under Secretaries Committee Decision Memorandum"
223,NSDM1,NSDM,National Security Decision Memorandum
224,NSSM1,NSSM,National Security Study Memorandum
225,Noforn1,Noforn,no foreign dissemination
226,OAS1,OAS,Organization of American States
227,OASD1,OASD,Office of the Assistant Secretary of Defense
228,OASDISA1,OASD/ISA,Office of the Assistant Secretary of Defense for International Security Affairs
229,OAU1,OAU,Organization of African Unity
230,OCI1,OCI,"Office of Current Intelligence, Central Intelligence Agency"
231,OECD1,OECD,Organization for Economic Cooperation and Development
232,OEP1,OEP,Office of Emergency Preparedness
233,OJCS1,OJCS,Office of the Joint Chiefs of Staff
234,OMB1,OMB,Office of Management and Budget
235,ONUC1,ONUC,Operation des Nations Unies au Congo
236,OPIC1,OPIC,Overseas Private Investment Corporation
237,OPLAN1,OPLAN,operation plan
238,OSDISA1,OSD/ISA,"Office of the Secretary of Defense, Bureau of International Security Affairs"
239,P1,P,Undersecretary of State for Political Affairs
240,PAFMECA1,PAFMECA,Pan-African Freedom Movement of East and Central Africa
241,PAG1,PAG,Provisional Algerian Government
242,PCT1,PCT,"Partido Conservador Tradicional, Nicaragua"
243,PDC1,PDC,"Partido Democratico Christiana (Christian Democrats), Chile and Uruguay"
244,PGAR1,PGAR,Provisional Government of the Algerian Republic
245,PGT1,PGT,Partido Guatemalteco de Trabajo (Guatemalan Worker's Party)
246,PJG1,PJG,Pueblo Junto Gobierno (United People's Government of Panama)
247,PL1,PL,Public Law
248,PLN1,PLN,"National Liberation Party, Costa Rica; Partido Liberal Nacional, Nicaragua"
249,PM1,PM,Prime Minister
250,PNC1,PNC,"People's National Congress, Guyana"
251,PNP1,PNP,"Peoples' National Party, Jamaica and Suriname"
252,PNR1,PNR,"Partido Nacional Republicano (National Republic Party), Paraguay and Venezuela"
253,POL1,POL,Political
254,POLAD1,POLAD,Political Adviser
255,POLECONCOMM1,POL/ECON/COMM,"Political Section, Economic Section, Commercial Section,"
256,PPP1,PPP,"People's Progressive Party, Guyana"
257,PRD1,PRD,Partido Revolucionario Dominicano (Dominican Revolutionary Party)
258,PSA1,PSA,Congolese political party
259,PSC1,PSC,"Partido Social Christiano (Social Christian Party), Nicaragua"
260,PX1,PX,Post Exchange
261,Para1,Para,Paragraph
262,Polto1,Polto,series indicator for telegrams from the United States Mission to the North Atlantic Treaty Organization and European Regional Organizations to the Department of State
263,RAR1,RAR,"Office of Research and Analysis, Bureau of Intelligence and Research, Department of State"
264,RG1,RG,Record Group
265,ROCAP1,ROCAP,"Regional Office for Central America and Panama, Agency for International Development"
266,Reftel1,Reftel,Reference Telegram
267,S1,S,Office of the Secretary
268,SA1,SA,South Africa
269,SAC1,SAC,Strategic Air Command
270,SAFC1,SAFC,Senate Armed Forces Committee
271,SAG1,SAG,South African Government
272,SC1,SC,Security Council (United Nations)
273,SFW1,S/FW,Special Assistant to the Secretary for Fisheries and Wildlife
274,SIC1,SIC,Servicio de Inteligencia de Colombia (Colombian Intelligence Service)
275,SNIE1,SNIE,Special National Intelligence Estimate
276,SPC1,S/PC,"Planning and Coordination Staff, Office of the Secretary"
277,SPCC1,SPCC,Southern Peru Copper Company
278,SR1,SR,Southern Rhodesia
279,SRG1,SRG,Senior Review Group
280,SS1,S/S,"Executive Secretariat, Department of State"
281,STADIS1,STADIS,State Distribution Only
282,STR1,STR,Special Trade Representative
283,STRATCOM1,STRATCOM,Strategic Command
284,SWA1,SWA,South West Africa
285,SYG1,SYG,Secretary-General of the United Nations
286,SecDef1,SecDef,Secretary of Defense
287,Secto1,Secto,series indicator for telegrams from the Secretary of State while away from the United States
288,Sov1,Sov,Soviet
289,Subs1,Subs,(in substance)
290,TIAS1,TIAS,Treaties and Other International Acts Series
291,T_AMB1,Amb,Ambassador
292,Topol1,Topol,series indicator for telegrams from the Department of State to the Mission to the North Atlantic Treaty Organization and European Regional Organizations
293,Tosec1,Tosec,series indicator for telegrams to the Secretary of State while away from Washington
294,U1,U,Undersecretary
295,UAR1,UAR,United Arab Republic
296,UF1,UF,United Front (Guyana)
297,UK1,UK,United Kingdom
298,UM1,UM,Union Miniere
299,UMHK1,UMHK,Union Miniere du Haut-Katanga
300,UN1,UN,United Nations
301,UNESCO1,UNESCO,"United Nations Educational, Scientific and Cultural Organization"
302,UNGA1,UNGA,United Nations General Assembly
303,UNOC1,UNOC,United Nations Operations in the Congo
304,UNSC1,UNSC,United Nations Security Council
305,UNSYG1,UNSYG,United Nations Secretary-General
306,UP1,UP,"Unidad Popular, Chile"
307,UPI1,UPI,United Press International
308,UPU1,UPU,Universal Postal Union
309,USAF1,USAF,United States Air Force
310,USAID1,USAID,see AID
311,USCINCEUR1,USCINCEUR,"United States Commander in Chief, Europe"
312,USCINCSO1,USCINCSO,"U.S. Commander in Chief, Southern Command"
313,USDAO1,USDAO,U.S. Defense Attache Officer
314,USG1,USG,United States Government
315,USIA1,USIA,United States Information Agency
316,USIB1,USIB,United States Intelligence Board
317,USIS1,USIS,United States Information Service
318,USN1,USN,United States Navy
319,USNAVEUR1,USNAVEUR,"United States Naval Forces, Europe"
320,USOAS1,USOAS,Permanent Mission of the United States of America to the Organization of American States
321,USOM1,USOM,United States Operations Mission
322,USSOUTHCOM1,USSOUTHCOM,U.S. Southern Command
323,USSR1,USSR,Union of Soviet Socialist Republics
324,USUN1,USUN,United States Mission to the United Nations
325,VHP1,VHP,"United Hindu Party, Suriname"
326,VIP1,VIP,Very Important Person
327,VOA1,VOA,Voice of America
328,VP1,VP,Vice President
329,WE1,WE,"Office of Western European Affairs, Bureau of European Affairs, Department of State"
330,WH1,WH,"White House; or Western Hemisphere Division, Central Intelligence Agency"
331,WHCA1,WHCA,White House Communications Agency
332,memcon1,memcon,memorandum of conversation
333,septel1,septel,separate telegram
334,t_40Committee1,40 Committee,"supervisory group established to approve, oversee, and control covert operations abroad; chaired by the Assistant to the President for National Security Affairs (Kissinger)"
335,t_4H_1,4-H,"youth organization administered by the National Institute of Food and Agriculture of the Department of Agriculture (the four H's are head, heart, hands, health)"
336,t_A1,A,"Office of the Assistant (after October 3, 1949, Deputy Under) Secretary of State for Administration"
337,t_A11,A-1,"U.S.-made single engine, propeller driven, attack aircraft"
338,t_A1E1,A-1E,single engine propeller driven attack aircraft with two crew members
339,t_A1H1,A-1H,single engine propeller driven attack aircraft
340,t_A1S_1,A-1 Skyraider,"a propeller-driven attack aircraft that carried out close air support for U.S. Navy, U.S. Marine Corps, and for the South Vietnamese Air Force"
341,t_A1Skyraider1,A-1 Skyraider,"a propeller-driven attack aircraft that carried out close air support for U.S. Navy, U.S. Marine Corps, and South Vietnamese Air Force"
342,t_A2,A/,series indicator for documents of the General Assembly of the United Nations
343,t_A201,A-20,twin-engine light bomber aircraft (Boston)
344,t_A21,A-2,intelligence evaluation rating indicating that the source is reliable and the information supplied probably true
345,t_A261,A-26,"(Invader), twin engine propeller driven, World War II era attack aircraft with three crew members"
346,t_A3_1,A-3,"U.S. carrier-capable strategic bomber (Skywarrior)
A-4, U.S. carrier-capable attack aircraft (Skyhawk)
AAF, Argentine Air Force
AAW, anti-aircraft warfare 
ABC, American Broadcasting Company
ACDA, Arms Control and Disarmament Agency
Adm, Admiral
AEW, airborne early warning
AF, airfield
AF #1, Air Force One
AFB, Air Force Base
AFCP, Air Force Command Post
AFLC, Air Force Logistics Command
AGI, auxiliary general intelligence (reconnaissance ship)
AIM 9-L, AIM 9-M, U.S. air-to-air missile variants (Sidewinder)
ALCON, all concerned
AmCit(s), American citizen(s)
AMH, Alexander M. Haig, Jr.
ARA, Bureau of Inter-American Affairs, Department of State
ARA/BR, Office of Brazilian Affairs, Bureau of Inter-American Affairs, Department of State
ARA/CAR, Office of Caribbean Affairs, Bureau of Inter-American Affairs, Department of State
ARA/CEN, Office of Central American Affairs, Bureau of Inter-American Affairs, Department of State
ARA/ECP, Office of Regional Economic Policy, Bureau of Inter-American Affairs, Department of State
ARA/PPC, Office of Policy Planning Coordination, Bureau of Inter-American Affairs, Department of State
ARA/RPP, Office of Regional Political Programs, Bureau of Inter-American Affairs, Department of State
ARA/SC, Office of Southern Cone Affairs, Bureau of Inter-American Affairs, Department of State
ARA/USOAS, U.S. Mission to the Organization of American States
ARGNAV, Argentine Navy
ARMA, Army Attache
Arg., Argentine; Argentina
ASAP, as soon as possible
ASD, Assistant Secretary of Defense
ASSTSECSTATE, Assistant Secretary of State
ASW, anti-submarine warfare
avail, available
AWACS, Airborne Warning and Control System
AWG-10, U.S. radar system"
347,t_A4D1,A-4D,"Skyhawk, U.S. single engine turbojet attack aircraft"
348,t_A4Skyhawk1,A-4 Skyhawk,"a lightweight, single engine jet attack aircraft used by the U.S. Navy and U.S. Marine Corps"
349,t_A4_1,A-4,U.S. carrier-capable attack aircraft (Skyhawk)
350,t_A61,A-6,U.S. carrier-based attack aircraft
351,t_A6I_1,A-6 Intruder,"twin jet-engine, mid-wing attack aircraft"
352,t_A71,A-7,U.S. tactical military aircraft
353,t_AA1,AA,"Office of the Assistant Administrator, Agency for International Development"
354,t_AA12,A-A,Assistant Secretary of State for Political Affairs (Armour)
355,t_AA2,A-A,Assistant Secretary of State for Political Affairs (Armour)
356,t_AA3,A-A,Assistant Secretary of State for Political Affairs (Armour)
357,t_AAA1,AAA,"Asociacion de Amigos de Aureliano, Association of Aureliano's Friends"
358,t_AAAFR_1,AA/AFR,"or AID/AA/AFR, Bureau for Africa, Agency for International Development"
359,t_AAASIA_1,AA/ASIA,"or AID/AA/ASIA, Bureau for Asia, Agency for International Development"
360,t_AAAW1,AA-AW,antiaircraft-aircraft warning
361,t_AAA_1,AAA,"Alianza Anticomunista Argentina (Argentine Anticommunist Alliance) ACDA
, Arms Control and Disarmament Agency AD
, Accion Democratica (Democratic Action), Venezuelan political party Adm.
, Admiral AECA
, Arms Export Control Act AF
, Bureau of African Affairs, Department of State AI
, Amnesty International AID
, Agency for International Development AMCIT
, American citizen ANAPO
, Alianza Nacional Popular (National Popular Alliance), Colombian political party APC
, armored personnel carrier APRA
, Alianza Popular Revolucionaria Americana (American Popular Revolutionary Alliance), Peru Apristas
, members of APRA ARA
, Bureau of Inter-American Affairs, Department of State ARA/ECA
, Office of East Coast Affairs, Bureau of Inter-American Affairs, Department of State ARA/LA/EP
, Ecuador and Peru, Bureau of Inter-American Affairs, Department of State ARA/LA
, Bureau of Inter-American Affairs, Department of State; Bureau for Latin America, Agency for International Development ARA/LA/APU
, Office of Argentine, Paraguayan, and Uruguayan Affairs, Bureau of Inter-American Affairs, Department of State; Office of Argentine, Paraguayan, and Uruguayan Affairs, Bureau for Latin America, Agency for International Development ARA/MGT/FM
, Financial Management Division, Office of Management, Bureau of Inter-American Affairs, Department of State ARD
, accelerated rural development ARENA
, Alianca Renovadora Nacional (National Renewal Alliance), Brazilian political party ARMA
, U.S. Army Attache ASAP
, as soon as possible"
362,t_AACC1,AACC,Afro-Asian Conciliation Commission
363,t_AACS1,AACS,Airways and Air Communications Service
364,t_AADC1,AADC,Area Air Defense Commander
365,t_AADC_1,AADC,Area Air Defense Commander
366,t_AAF1,AAF,Army Air Forces (U.S.)
367,t_AAFLI1,AAFLI,Asian American Free Labor Institute
368,t_AAFSW_1,AAFSW,Association of American Foreign Service Women
369,t_AAF_1,AAF,Argentine Air Force
370,t_AAI1,AAI,Authorized Active Inventory
371,t_AAID1,A/AID,"Office of the Administrator, Agency for International Development"
372,t_AAID_1,A/AID,"or AID/A, Office of the Administrator, Agency for International Development"
373,t_AAIIA_1,AA/IIA,"or AID/IIA, Bureau of Intragovernmental and International Affairs, Agency for International Development"
374,t_AAI_1,AAI,"Africa-America Institute
ABC, American Broadcasting Company
AC/D or AC&D, arms control and disarmament
ACDA, Arms Control and Disarmament Agency
ACLU, American Civil Liberties Union
ACTION, federal agency created by the merger of VISTA and the Peace Corps
ACYPL, American Council of Young Political Leaders
admin., administrative
AF, Bureau of African Affairs, Department of State
AF or ICA/AF, Office of the Director for African Affairs, International Communication Agency
AFL-CIO, American Federation of Labor-Congress of Industrial Organizations
AGUSA, U.S. International Communication Agency's ""Agriculture USA"" Exhibit
AHA, American Historical Association
AIC, Agency for International Communication (proposed name for the International Communication Agency)
AID, Agency for International Development
AIDSAT, international applications demonstration (demonstration of the capabilities of the ATS-6 satellite, undertaken by the Agency for International Development)
ALA, American Library Association
ALSC, Association for Library Service to Children (division of the American Library Association)
Amb., ambassador
AMIDEAST, American Friends of the Middle East (non-profit organization)
Amparts, American Participants (cultural exchanges)
ANPA, American Newspaper Publishers Association
AP, Associated Press
APSA, American Political Science Association
AR or ICA/AR, Office of the Director for American Republics Affairs, International Communication Agency
ARA or ARA/LA, Bureau of Inter-American Affairs, Department of State/Bureau for Latin America, Agency for International Development
ARBA, American Revolution Bicentennial Administration
ARBC, American Revolution Bicentennial Commission
ARS, Africa Regional Services (source of French language programs for Public Affairs sections at U.S. embassies in Africa)
ASAP, as soon as possible
ASEAN, Association of South East Asian Nations
ASNE, American Society of Newspaper Editors
ATS-6, Applications Technology Satellite-6"
375,t_AAJOP_1,AAJOP,Affirmative Action Junior Officer Program
376,t_AAL1,AA/L,"Legislative Liaison Section, Department of State"
377,t_AALAC_1,AA/LAC,"or AID/AA/LAC, Bureau for Latin America and the Caribbean, Agency for International Development"
378,t_AALAPSO1,AALAPSO,Afro-Asian-Latin American Peoples' Solidarity Organization
379,t_AALA_1,AA/LA,"Office of the Assistant Administrator and Deputy U.S. Coordinator
AFL-CIO, American Federation of Labor and Congress of Industrial Organizations
AID, Agency for International Development
AMB, Ambassador
ACAN-EFE, Panamanian news service
ASD/ISA, Assistant Secretary of Defense for International Security Affairs
APO, Army Post Office
ARA, Bureau of Inter-American Affairs, Department of State
ARA/ECP, Office of Regional Economic Policy, Bureau of Inter-American Affairs, Department of State
ARA/PAN, Office of Panamanian Affairs, Bureau of Inter-American Affairs, Department of State
ARA/USOAS, Permanent Mission of the United States of America to the Organization of American States, Bureau of Inter-American Affairs, Department of State 
ASA, Assistant Secretary of State
ASAP, as soon as possible"
380,t_AAM1,AAM,air-to-air missiles
381,t_AANESA1,AA/NESA,"Bureau for Near East and South Asia, Agency for International Development"
382,t_AANE_1,AA/NE,"or AID/AA/NE, Bureau for the Near East, Agency for International Development"
383,t_AAO1,AAO,Army Attache Office
384,t_AAPC1,AAPC,All-African People's Conference
385,t_AAPD1,AAPD,Akten zur Auswartigen Politik der Bundesrepublik Deutschland
386,t_AAPHA1,AA/PHA,"Bureau for Population and Humanitarian Assistance, Agency for International Development"
387,t_AAPHA_1,AA/PHA,"Bureau for Population and Humanitarian Assistance, Agency for International Development"
388,t_AAPM1,AAPM,"Office of the Assistant Administrator for Program, Economic Cooperation Administration"
389,t_AAPRR_1,AA/PRR,"Office of Private Resources, Agency for International Development"
390,t_AAPSO_1,AAPSO,Afro-Asian Peoples' Solidarity Organization
391,t_AAP_1,AAP,"Anglo-American Plan/Proposals AF, Bureau of African Affairs, Department of State AF/S, Office of Southern African Affairs, Bureau of African Affairs, Department of State AG, Administrator-General (Namibia) AID, Agency for International Development Amb., Ambassador Amcit, American citizen ANC, African National Council APC, all parties conference APM, all parties meeting"
392,t_AARMA1,AARMA,assistant army attache
