,id,title,classification,publication_date,page_count,content_type
22,CIA-RDP82-00850R000400060005-6,JPRS ID: 10028  EAST EUROPE REPORT SCIENTIFIC AFFAIRS,U,,9,REPORTS
23,CIA-RDP82-00850R000400060007-4,JPRS ID: 10030  WEST EUROPE REPORT,U,,28,REPORTS
24,CIA-RDP82-00850R000400060009-2,JPRS ID: 10032  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,71,REPORTS
25,CIA-RDP82-00850R000400060011-9,JPRS ID: 10034  USSR REPORT AGRICULTURE,U,,18,REPORTS
26,CIA-RDP82-00850R000400060013-7,JPRS ID: 10036  WORLDWIDE REPORT NUCLEAR DEVELOPMENT AND PROLIFERATION SELECTIONS ON CSSR NUCLEAR PO,U,,112,REPORTS
27,CIA-RDP82-00850R000400060015-5,"JPRS ID: 10038  CHINA REPORT POLITICAL, SOCIOLOGICAL AND MILITARY AFFAIRS",U,,43,REPORTS
28,CIA-RDP82-00850R000400060017-3,JPRS ID: 10040  JAPAN REPORT,U,,39,REPORTS
29,CIA-RDP82-00850R000400060019-1,JPRS ID: 10042  NEAR EAST/NORTH AFRICA REPORT,U,,27,REPORTS
30,CIA-RDP82-00850R000400060021-8,JPRS ID: 10044  SOUTH AND EAST ASIA REPORT,U,,15,REPORTS
31,CIA-RDP82-00850R000400060023-6,JPRS ID: 10046  WEST EUROPE REPORT,U,,35,REPORTS
32,CIA-RDP82-00850R000400060025-4,JPRS ID: 10048  TRANSLATION BIOMEDICAL AND PSYCHOLOGICAL PROBLEMS OF SPACE FLIGHT: AN INDEX OF SOVIE,U,,327,REPORTS
33,CIA-RDP82-00850R000400060027-2,"JPRS ID: 10050  EAST EUROPE REPORT POLITICAL, SOCIOLOGICAL AND MILITARY AFFAIRS",U,,11,REPORTS
34,CIA-RDP82-00850R000400060029-0,JPRS ID: 10052  JAPAN REPORT,U,,67,REPORTS
35,CIA-RDP82-00850R000400060031-7,JPRS ID: 10054  USSR REPORT INTERNATIONAL ECONOMIC RELATIONS,U,,40,REPORTS
36,CIA-RDP82-00850R000400060033-5,JPRS ID: 10056  WEST EUROPE REPORT,U,,38,REPORTS
37,CIA-RDP82-00850R000400060035-3,JPRS ID: 10058  TRANSLATION SOVIET SCIENCE AND TECHNOLOGY POLICY,U,,50,REPORTS
38,CIA-RDP82-00850R000400060037-1,JPRS ID: 10060  NEAR EAST/NORTH AFRICA REPORT,U,,32,REPORTS
39,CIA-RDP82-00850R000400060039-9,JPRS ID: 10062  WEST EUROPE REPORT,U,,42,REPORTS
40,CIA-RDP82-00850R000400060041-6,"JPRS ID: 10064  USSR REPORT CYBERNETICS, COMPUTERS AND AUTOMATION TECHNOLOGY",U,,105,REPORTS
41,CIA-RDP82-00850R000400060043-4,JPRS ID: 10066  JAPAN REPORT,U,,33,REPORTS
42,CIA-RDP82-00850R000400060045-2,JPRS ID: 10068  USSR REPORT ENGINEERING AND EQUIPMENT,U,,55,REPORTS
43,CIA-RDP82-00850R000400060047-0,JPRS ID: 10070  USSR REPORT ECONOMIC AFFAIRS,U,,39,REPORTS
44,CIA-RDP82-00850R000400060049-8,JPRS ID: 10072  USSR REPORT PHYSICS AND MATHEMATICS,U,,95,REPORTS
45,CIA-RDP82-00850R000400060051-5,JPRS ID: 10074  JAPAN REPORT,U,,38,REPORTS
46,CIA-RDP82-00850R000400060053-3,JPRS ID: 10076  TRANSLATION ECONOMIC FORECASTING FOR THE DEVELOPMENT OF LARGE TECHNICAL SYSTEMS BY S,U,,297,REPORTS
47,CIA-RDP82-00850R000400060055-1,JPRS ID: 10078  USSR REPORT HUMAN RESOURCES,U,,64,REPORTS
48,CIA-RDP82-00850R000400060057-9,JPRS ID: 10080  WEST EUROPE REPORT,U,,71,REPORTS
49,CIA-RDP82-00850R000400060059-7,JPRS ID: 10082  JAPAN REPORT,U,,54,REPORTS
50,CIA-RDP82-00850R000400060060-5,JPRS ID: 10083  USSR REPORT CONSUMER GOODS AND DOMESTIC TRADE,U,,27,REPORTS
51,CIA-RDP82-00850R000400060061-4,JPRS ID: 10084  NEAR EAST/NORTH AFRICA REPORT,U,,36,REPORTS
52,CIA-RDP82-00850R000400060062-3,JPRS ID: 10085  SUB-SAHARAN AFRICA REPORT,U,,36,REPORTS
53,CIA-RDP82-00850R000400070001-9,JPRS ID: 10086  JAPAN REPORT,U,,96,REPORTS
54,CIA-RDP82-00850R000400070003-7,"JPRS ID: 10088  USSR REPORT METEORLOGY AND HYDROLOGY NO.5, MAY 1981",U,,170,REPORTS
55,CIA-RDP82-00850R000400070005-5,JPRS ID: 10090  CHINA REPORT ECONOMIC AFFAIRS,U,,15,REPORTS
56,CIA-RDP82-00850R000400070007-3,JPRS ID: 10092  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,81,REPORTS
57,CIA-RDP82-00850R000400070009-1,JPRS ID: 10094  USSR REPORT POLITICAL AND SOCIOLOGICAL AFFAIRS,U,,26,REPORTS
58,CIA-RDP82-00850R000400070011-8,JPRS ID: 10096  WEST EUROPE REPORT,U,,26,REPORTS
59,CIA-RDP82-00850R000400070013-6,JPRS ID: 10098  USSR REPORT ENERGY,U,,22,REPORTS
60,CIA-RDP82-00850R000400070015-4,JPRS ID: 10100  SUB-SAHARAN AFRICA REPORT,U,,43,REPORTS
61,CIA-RDP82-00850R000400070017-2,JPRS ID: 10102  LATIN AMERICA REPORT,U,,18,REPORTS
62,CIA-RDP82-00850R000400070019-0,JPRS ID: 10104  USSR REPORT CONSTRUCTION AND EQUIPMENT,U,,21,REPORTS
63,CIA-RDP82-00850R000400070021-7,JPRS ID: 10106  WEST EUROPE REPORT,U,,29,REPORTS
64,CIA-RDP82-00850R000400070023-5,JPRS ID: 10108  USSR REPORT SPACE,U,,68,REPORTS
65,CIA-RDP82-00850R000400070025-3,"JPRS ID: 10110  TRANSLATION MAN AND SPACE ASTRONAVIGATION BY VALERIY FEDEROVICH BYKOVSKIY, ET AL.",U,,137,REPORTS
66,CIA-RDP82-00850R000400070027-1,JPRS ID: 10112  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,71,REPORTS
67,CIA-RDP82-00850R000400070029-9,JPRS ID: 10114  WEST EUROPE REPORT,U,,24,REPORTS
68,CIA-RDP82-00850R000400070030-7,JPRS ID: 10115  SUB-SAHARAN AFRICA REPORT,U,,38,REPORTS
69,CIA-RDP82-00850R000400070031-6,JPRS ID: 10116  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,80,REPORTS
70,CIA-RDP82-00850R000400070032-5,JPRS ID: 10117  KOREAN AFFAIRS REPORT,U,,12,REPORTS
71,CIA-RDP82-00850R000400070033-4,JPRS ID: 10118  MONGOLIA REPORT STATUS OF ELECTRIFICATION OF THE MONGOLIAN NATIONAL ECONOMY,U,,23,REPORTS
72,CIA-RDP82-00850R000400070034-3,"JPRS ID: 10119  USSR REPORT METEORLOGY AND HYDROLOGY NO. 7, JULY 1981",U,,119,REPORTS
73,CIA-RDP82-00850R000400070035-2,JPRS ID: 10120  VIETNAM REPORT,U,,14,REPORTS
74,CIA-RDP82-00850R000400070036-1,JPRS ID: 10121  SUB-SAHARAN AFRICA REPORT,U,,30,REPORTS
75,CIA-RDP82-00850R000400070037-0,JPRS ID: 10122  USSR REPORT MILITARY AFFAIRS,U,,29,REPORTS
76,CIA-RDP82-00850R000400070038-9,JPRS ID: 10123  WEST EUROPE REPORT,U,,31,REPORTS
77,CIA-RDP82-00850R000400070039-8,JPRS ID: 10124  WEST EUROPE REPORT SCIENCE AND TECHNOLOGY,U,,34,REPORTS
78,CIA-RDP82-00850R000400070040-6,JPRS ID: 10125  JAPAN REPORT,U,,58,REPORTS
79,CIA-RDP82-00850R000400070041-5,JPRS ID: 10126  TRANSLATION ANTIRADAR CAMOUFLAGE BY YU. G. STEPANOV,U,,119,REPORTS
80,CIA-RDP82-00850R000400070042-4,JPRS ID: 10127  USSR REPORT TRANSPORTATION,U,,28,REPORTS
81,CIA-RDP82-00850R000400070043-3,JPRS ID: 10128  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,47,REPORTS
82,CIA-RDP82-00850R000400070044-2,JPRS ID: 10129  USSR REPORT ENERGY,U,,19,REPORTS
83,CIA-RDP82-00850R000400070045-1,JPRS ID: 10130  JAPAN REPORT,U,,56,REPORTS
84,CIA-RDP82-00850R000400070046-0,"JPRS ID: 10131  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,12,REPORTS
85,CIA-RDP82-00850R000400070047-9,JPRS ID: 10132  USSR REPORT POLITICAL AND SOCIOLOGICAL AFFAIRS,U,,28,REPORTS
86,CIA-RDP82-00850R000400070048-8,JPRS ID: 10133  WEST EUROPE REPORT,U,,35,REPORTS
87,CIA-RDP82-00850R000400070049-7,JPRS ID: 10134  NEAR EAST/NORTH AFRICA REPORT,U,,26,REPORTS
88,CIA-RDP82-00850R000400070050-5,"JPRS ID: 10135  CHINA REPORT POLITICAL, SOCIOLOGICAL AND MILITARY AFFAIRS",U,,19,REPORTS
89,CIA-RDP82-00850R000400070051-4,JPRS ID: 10136  JAPAN REPORT,U,,47,REPORTS
90,CIA-RDP82-00850R000400070052-3,JPRS ID: 10137  EAST EUROPE REPORT SCIENTIFIC AFFAIRS,U,,10,REPORTS
91,CIA-RDP82-00850R000400070053-2,JPRS ID: 10138  SUB-SAHARAN AFRICA REPORT,U,,33,REPORTS
92,CIA-RDP82-00850R000400070054-1,"JPRS ID: 10139  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,16,REPORTS
93,CIA-RDP82-00850R000400070055-0,JPRS ID: 10140  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,48,REPORTS
94,CIA-RDP82-00850R000400070056-9,JPRS ID: 10141  LATIN AMERICA REPORT,U,,25,REPORTS
95,CIA-RDP82-00850R000400070057-8,JPRS ID: 10142  USSR REPORT CHEMISTRY,U,,52,REPORTS
96,CIA-RDP82-00850R000400070058-7,JPRS ID: 10143  USSR REPORT ENGINEERING AND EQUIPMENT,U,,125,REPORTS
97,CIA-RDP82-00850R000400070059-6,JPRS ID: 10144  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,144,REPORTS
98,CIA-RDP82-00850R000400070060-4,JPRS ID: 10145  WEST EUROPE REPORT SCIENCE AND TECHNOLOGY,U,,26,REPORTS
99,CIA-RDP82-00850R000400070061-3,"JPRS ID: 10146  CHINA REPORT POLITICAL, SOCIOLOGICAL AND MILITARY AFFAIRS",U,,30,REPORTS
100,CIA-RDP82-00850R000400080001-8,"JPRS ID: 10147  USSR REPORT METEORLOGY AND HYDROLOGY NO. 8, AUGUST 1981",U,,102,REPORTS
101,CIA-RDP82-00850R000400080002-7,JPRS ID: 10148  KOREAN AFFAIRS REPORT,U,,16,REPORTS
102,CIA-RDP82-00850R000400080003-6,"JPRS ID: 10149  USSR REPORT METEORLOGY AND HYDROLOGY NO. 9, SEPTEMBER 1981",U,,62,REPORTS
103,CIA-RDP82-00850R000400080004-5,JPRS ID: 10150  TRANSLATION CHANNEL NUCLEAR ENERGY REACTOR BY N.A. DOLLEZHAL' AND I. YA. YEMEL,U,,132,REPORTS
104,CIA-RDP82-00850R000400080005-4,JPRS ID: 10151  WEST EUROPE REPORT,U,,29,REPORTS
105,CIA-RDP82-00850R000400080006-3,JPRS ID: 10152  NEAR EAST/NORTH AFRICA REPORT,U,,39,REPORTS
106,CIA-RDP82-00850R000400080007-2,JPRS ID: 10153  USSR REPORT ENERGY,U,,24,REPORTS
107,CIA-RDP82-00850R000400080008-1,JPRS ID: 10154  USSR REPORT ECONOMIC AFFAIRS,U,,42,REPORTS
108,CIA-RDP82-00850R000400080009-0,JPRS ID: 10155  USSR REPORT PHYSICS AND MATHEMATICS,U,,190,REPORTS
109,CIA-RDP82-00850R000400080010-8,JPRS ID: 10156  USSR REPORT INTERNATIONAL ECONOMIC RELATIONS,U,,26,REPORTS
110,CIA-RDP82-00850R000400080011-7,JPRS ID: 10157  TRANSLATION RADIATING PROPERTIES OF SHOCK WAVES IN GASES BY M.A. TSIKULIN ANYE G. PO,U,,186,REPORTS
111,CIA-RDP82-00850R000400080012-6,JPRS ID: 10158  WEST EUROPE REPORT,U,,49,REPORTS
112,CIA-RDP82-00850R000400080013-5,"JPRS ID: 10159  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,68,REPORTS
113,CIA-RDP82-00850R000400080014-4,JPRS ID: 10160  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,76,REPORTS
114,CIA-RDP82-00850R000400080015-3,JPRS ID: 10161  JAPAN REPORT,U,,61,REPORTS
115,CIA-RDP82-00850R000400080016-2,JPRS ID: 10162  CHINA REPORT ECONOMIC AFFAIRS,U,,17,REPORTS
116,CIA-RDP82-00850R000400080017-1,JPRS ID: 10163  EAST EUROPE REPORT ECONOMIC AND INDUSTRIAL AFFAIRS,U,,7,REPORTS
117,CIA-RDP82-00850R000400080018-0,JPRS ID: 10164  SUB-SAHARAN AFRICA REPORT,U,,31,REPORTS
118,CIA-RDP82-00850R000400080020-7,JPRS ID: 10166  JAPAN REPORT,U,,107,REPORTS
119,CIA-RDP82-00850R000400080022-5,JPRS ID: 10168  USSR REPORT CONSUMER GOODS AND DOMESTIC TRADE,U,,24,REPORTS
120,CIA-RDP82-00850R000400080024-3,JPRS ID: 10170  USSR REPORT ECONOMIC AFFAIRS,U,,24,REPORTS
121,CIA-RDP82-00850R000400080026-1,"JPRS ID: 10172  USSR REPORT CYBERNETICS, COMPUTERS AND AUTOMATION TECHNOLOGY",U,,136,REPORTS
122,CIA-RDP82-00850R000400080028-9,JPRS ID: 10174  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,82,REPORTS
123,CIA-RDP82-00850R000400080030-6,JPRS ID: 10176  VIETNAM REPORT,U,,15,REPORTS
124,CIA-RDP82-00850R000400080032-4,JPRS ID: 10178  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,130,REPORTS
125,CIA-RDP82-00850R000400080034-2,JPRS ID: 10180  NEAR EAST/NORTH AFRICA REPORT,U,,52,REPORTS
126,CIA-RDP82-00850R000400080036-0,JPRS ID: 10182  SUB-SAHARAN AFRICA REPORT,U,,49,REPORTS
127,CIA-RDP82-00850R000400080038-8,JPRS ID: 10184  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,60,REPORTS
128,CIA-RDP82-00850R000400080040-5,JPRS ID: 10186  WEST EUROPE REPORT,U,,28,REPORTS
129,CIA-RDP82-00850R000400080042-3,JPRS ID: 10188  NEAR EAST/NORTH AFRICA REPORT,U,,32,REPORTS
130,CIA-RDP82-00850R000400080044-1,JPRS ID: 10190  WEST EUROPE REPORT SCIENCE AND TECHNOLOGY,U,,13,REPORTS
131,CIA-RDP82-00850R000400080046-9,JPRS ID: 10192  USSR REPORT ELECTRONICS AND ELECTRICAL ENGINEERING (CORRECTED COPY),U,,150,REPORTS
132,CIA-RDP82-00850R000400080049-6,JPRS ID: 10194  USSR REPORT MILITARY AFFAIRS,U,,100,REPORTS
133,CIA-RDP82-00850R000400080051-3,JPRS ID: 10196  USSR REPORT MILITARY AFFAIRS TROOP CONTROL IN AN OFFENSIVE,U,,163,REPORTS
134,CIA-RDP82-00850R000400080053-1,JPRS ID: 10198  USSR REPORT ENERGY (CORRECTED COPY),U,,25,REPORTS
135,CIA-RDP82-00850R000400080056-8,"JPRS ID: 10200  TRANSLATION SHIP BOUNDARY LAYER CONTROL BY A.M. BASIN, A.L. KOROTKIN AND L.F. KOZLOV",U,,445,REPORTS
136,CIA-RDP82-00850R000400080058-6,JPRS ID: 10202  SUB-SAHARAN AFRICA REPORT,U,,50,REPORTS
137,CIA-RDP82-00850R000500010001-4,JPRS ID: 10203  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,67,REPORTS
138,CIA-RDP82-00850R000500010002-3,JPRS ID: 10204  NEAR EAST/NORTH AFRICA REPORT,U,,79,REPORTS
139,CIA-RDP82-00850R000500010003-2,JPRS ID: 10205  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,137,REPORTS
140,CIA-RDP82-00850R000500010004-1,JPRS ID: 10206  TRANSLATION PROCEDURAL QUESTIONS OF SETTING HEALTH SAFETY STANDARDS FOR ELECTROMAGNE,U,,89,REPORTS
141,CIA-RDP82-00850R000500010005-0,JPRS ID: 10207  USSR REPORT MILITARY AFFAIRS ECONOMIC BASES FOR THE DEFENSE MIGHTOF A SOCIALIST STAT,U,,135,REPORTS
142,CIA-RDP82-00850R000500010006-9,JPRS ID: 10208  JAPAN REPORT,U,,52,REPORTS
143,CIA-RDP82-00850R000500010007-8,JPRS ID: 10209  WEST EUROPE REPORT,U,,48,REPORTS
144,CIA-RDP82-00850R000500010008-7,JPRS ID: 10210  TRANSLATION SYNCHRONIZATION OF PCISION TIME AND FREQUENY STANDARDS BY GLEB NIKOLAYEV,U,,113,REPORTS
145,CIA-RDP82-00850R000500010009-6,JPRS ID: 10211  TRANSLATION ARTIFICIAL SENSE ORGANS PROBLEMS OF MODELING SENSORY ORGANS BY S.V. FOMI,U,,160,REPORTS
146,CIA-RDP82-00850R000500010010-4,JPRS ID: 10212  TRANSLATION OPTICAL  AND THE PROBLEM OF DIVERGENCE OF LASER EMISSION BY YURIY ALEKSE,U,,296,REPORTS
147,CIA-RDP82-00850R000500010011-3,JPRS ID: 10213  WORLDWIDE REPORT NUCLEAR DEVELOPMENT AND PROLIFERATION,U,,15,REPORTS
148,CIA-RDP82-00850R000500010012-2,JPRS ID: 10214  USSR REPORT EARTH SCIENCES,U,,80,REPORTS
149,CIA-RDP82-00850R000500010013-1,JPRS ID: 10215  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,56,REPORTS
150,CIA-RDP82-00850R000500010014-0,JPRS ID: 10216  TRANSLATIONS THERMOPHYSICAL PROPERTIES OF WORKING MEDIA OF THE GAS-PHASE REACTOR BY,U,,315,REPORTS
151,CIA-RDP82-00850R000500010015-9,JPRS ID: 10217  SUB-SAHARAN AFRICA REPORT,U,,39,REPORTS
152,CIA-RDP82-00850R000500010016-8,JPRS ID: 10218  WEST EUROPE REPORT,U,,77,REPORTS
153,CIA-RDP82-00850R000500010017-7,JPRS ID: 10219  USSR REPORT HUMAN RESOURCES,U,,39,REPORTS
154,CIA-RDP82-00850R000500010018-6,JPRS ID: 10220  JAPAN REPORT,U,,80,REPORTS
155,CIA-RDP82-00850R000500010019-5,JPRS ID: 10221  USSR REPORT POLITICAL AND SOCIOLOGICAL AFFAIRS,U,,25,REPORTS
156,CIA-RDP82-00850R000500010020-3,"JPRS ID: 10222  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,30,REPORTS
157,CIA-RDP82-00850R000500010021-2,JPRS ID: 10223  SOUTH AND EAST ASIA REPORT,U,,13,REPORTS
158,CIA-RDP82-00850R000500010022-1,JPRS ID: 10224  USSR REPORT ENGINEERING AND EQUIPMENT,U,,79,REPORTS
159,CIA-RDP82-00850R000500010023-0,JPRS ID: 10225  VIETNAM REPORT,U,,179,REPORTS
160,CIA-RDP82-00850R000500010024-9,JPRS ID: 10226  USSR REPORT LIFE SCIENCES EFFECTS OF NONIONIZING ELECTROMAGNETIC RADIATION,U,,14,REPORTS
161,CIA-RDP82-00850R000500010025-8,JPRS ID: 10227  EAST EUROPE REPORT ECONOMIC AND INDUSTRIAL AFFAIRS,U,,56,REPORTS
162,CIA-RDP82-00850R000500010026-7,JPRS ID: 10228  KOREAN AFFAIRS REPORT,U,,12,REPORTS
163,CIA-RDP82-00850R000500010027-6,JPRS ID: 10229  USSR REPORT CONSUMER GOODS AND DOMESTIC TRADE,U,,12,REPORTS
164,CIA-RDP82-00850R000500010028-5,JPRS ID: 10230  LATIN AMERICA REPORT,U,,24,REPORTS
165,CIA-RDP82-00850R000500010029-4,JPRS ID: 10231  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,17,REPORTS
166,CIA-RDP82-00850R000500020001-3,JPRS ID: 10232  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,38,REPORTS
167,CIA-RDP82-00850R000500020002-2,JPRS ID: 10233  USSR REPORT LIFE SCIENCES BIOMEDICAL AND BEHAVIORAL SCIENCES,U,,178,REPORTS
168,CIA-RDP82-00850R000500020003-1,JPRS ID: 10234  USSR REPORT ENERGY,U,,19,REPORTS
169,CIA-RDP82-00850R000500020004-0,JPRS ID: 10235  USSR REPORT INTERNATIONAL ECONOMIC RELATIONS,U,,19,REPORTS
170,CIA-RDP82-00850R000500020005-9,JPRS ID: 10236  NEAR EAST/NORTH AFRICA REPORT,U,,18,REPORTS
171,CIA-RDP82-00850R000500020006-8,JPRS ID: 10237  WORLDWIDE REPORT ENVIRONMENTAL QUALITY,U,,9,REPORTS
172,CIA-RDP82-00850R000500020007-7,JPRS ID: 10238  TRANSLATION OPERATION MODES OF WATER-MODERATED WATER-COOLED NUCLEAR POWER REACTORS B,U,,107,REPORTS
173,CIA-RDP82-00850R000500020008-6,JPRS ID: 10239  JAPAN REPORT,U,,40,REPORTS
174,CIA-RDP82-00850R000500020009-5,JPRS ID: 10240  WORLDWIDE REPORT NUCLEAR DEVELOPMENT AND PROLIFERATION,U,,37,REPORTS
175,CIA-RDP82-00850R000500020010-3,JPRS ID: 10241  KOREAN AFFAIRS REPORT,U,,16,REPORTS
176,CIA-RDP82-00850R000500020011-2,JPRS ID: 10242  EAST EUROPE REPORT ECONOMIC AND INDUSTRIAL AFFAIRS,U,,27,REPORTS
177,CIA-RDP82-00850R000500020012-1,JPRS ID: 10243  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,38,REPORTS
178,CIA-RDP82-00850R000500020013-0,JPRS ID: 10244  WEST EUROPE REPORT,U,,47,REPORTS
179,CIA-RDP82-00850R000500020014-9,JPRS ID: 10245  USSR REPORT POLITICAL AND SOCIOLOGICAL AFFAIRS,U,,33,REPORTS
180,CIA-RDP82-00850R000500020015-8,JPRS ID: 10246  SUB-SAHARAN AFRICA REPORT,U,,49,REPORTS
181,CIA-RDP82-00850R000500020016-7,JPRS ID: 10247  USSR REPORT CONSTRUCTION AND EQUIPMENT,U,,41,REPORTS
182,CIA-RDP82-00850R000500020017-6,JPRS ID: 10248  USSR REPORT SCIENCE AND TECHNOLOGY POLICY,U,,49,REPORTS
183,CIA-RDP82-00850R000500020018-5,JPRS ID: 10249  USSR REPORT AGRICULTURE,U,,24,REPORTS
184,CIA-RDP82-00850R000500020019-4,JPRS ID: 10250  VIETNAM REPORT,U,,17,REPORTS
185,CIA-RDP82-00850R000500020020-2,JPRS ID: 10251  JAPAN REPORT,U,,41,REPORTS
186,CIA-RDP82-00850R000500020021-1,JPRS ID: 10252  WEST EUROPE REPORT,U,,35,REPORTS
187,CIA-RDP82-00850R000500020022-0,JPRS ID: 10253  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,54,REPORTS
188,CIA-RDP82-00850R000500020023-9,JPRS ID: 10254  NEAR EAST/NORTH AFRICA REPORT,U,,25,REPORTS
189,CIA-RDP82-00850R000500020024-8,"JPRS ID: 10255  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,27,REPORTS
190,CIA-RDP82-00850R000500020025-7,JPRS ID: 10256  SUB-SAHARAN AFRICA REPORT,U,,37,REPORTS
191,CIA-RDP82-00850R000500020026-6,JPRS ID: 10257  TRANSLATION INDUSTRIAL ERGONOMICS ED. BY S.I. GORSHKOV,U,,169,REPORTS
192,CIA-RDP82-00850R000500020027-5,JPRS ID: 10258  USSR REPORT ECONOMIC AFFAIRS,U,,65,REPORTS
193,CIA-RDP82-00850R000500020028-4,JPRS ID: 10259  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,67,REPORTS
194,CIA-RDP82-00850R000500020029-3,JPRS ID: 10260  KOREAN AFFAIRS REPORT,U,,27,REPORTS
195,CIA-RDP82-00850R000500020030-1,JPRS ID: 10261  CHINA REPORT ECONOMIC AFFAIRS,U,,17,REPORTS
196,CIA-RDP82-00850R000500020031-0,JPRS ID: 10262  USSR REPORT HUMAN RESOURCES,U,,22,REPORTS
